location,male,female,duet,individual
N20,0.8566,0.3386,0.1952,1.1952
F09,0.8076,0.2234,0.1409,1.031
C05,0.742,0.2378,0.1214,0.9798
D09,0.5666,0.14,0.0455,0.7066
S13T,0.2069,0.1931,0.0483,0.4
WB09,0.3406,0.0101,0.0067,0.3507
M04,0.2479,0.0658,0.0152,0.3137
K09,0.18,0.108,0.0,0.288
WD05,0.2546,0.0118,0.0101,0.2664
H04,0.1872,0.0253,0.0152,0.2125
D03,0.1271,0.0739,0.0223,0.201
KS06,0.1065,0.0515,0.0,0.158
E07,0.0826,0.0051,0.0034,0.0877
T10,0.0526,0.004,0.004,0.0566
N14,0.055,0.0,0.0,0.055
A11,0.0156,0.0,0.0,0.0156
J11,0.0046,0.0023,0.0,0.0069
TOTAL,0.2844,0.0877,0.037,0.372
