location,male,female,duet,individual
F09,1.2255,0.2855,0.1655,1.511
N20,1.0924,0.2773,0.1933,1.3697
C05,1.0527,0.1836,0.0891,1.2363
N14,0.5492,0.322,0.1932,0.8712
H04,0.5509,0.1855,0.0873,0.7364
T10,0.5062,0.1452,0.0622,0.6514
M04,0.3145,0.1891,0.0745,0.5036
D03,0.317,0.118,0.0843,0.435
D09,0.3013,0.078,0.02,0.3793
K09,0.2025,0.1446,0.0372,0.3471
WD05,0.3236,0.0036,0.0018,0.3272
S13T,0.1782,0.12,0.0036,0.2982
F05,0.2796,0.0074,0.0037,0.287
KS06,0.1503,0.0909,0.0385,0.2412
E07,0.1073,0.0073,0.0073,0.1146
J11,0.0509,0.0091,0.0055,0.06
A11,0.0286,0.0041,0.0,0.0327
TOTAL,0.4253,0.1277,0.0628,0.5531
