location,male,female,duet,individual
F09,0.8078,0.2614,0.1366,1.0692
N20,0.6532,0.2177,0.1653,0.8709
C05,0.5801,0.1703,0.0691,0.7504
H09,0.4275,0.1255,0.0784,0.553
H04,0.3592,0.1602,0.1012,0.5194
D09,0.2715,0.0624,0.0118,0.3339
M04,0.1686,0.1315,0.032,0.3001
WD05,0.2559,0.0337,0.0219,0.2896
B12M,0.2441,0.0101,0.0017,0.2542
D03,0.1686,0.0337,0.0034,0.2023
M01,0.1172,0.0664,0.0273,0.1836
A11,0.1166,0.0389,0.0283,0.1555
K09,0.0524,0.0242,0.0081,0.0766
H14,0.0143,0.0143,0.0,0.0286
J07,0.0067,0.01,0.0033,0.0167
J11,0.0101,0.0,0.0,0.0101
TOTAL,0.2659,0.085,0.043,0.3509
