location,male,female,duet,individual
D03,0.6477,0.0534,0.0417,0.7011
C05,0.4975,0.1956,0.0911,0.6931
F10,0.5861,0.085,0.0414,0.6711
G05,0.3932,0.015,0.0064,0.4082
CB11,0.3209,0.0522,0.0187,0.3731
V04,0.279,0.0833,0.029,0.3623
S13T,0.297,0.0564,0.0263,0.3534
S23,0.3,0.0185,0.0074,0.3185
D09,0.2462,0.0304,0.0135,0.2766
N20,0.1947,0.0715,0.0366,0.2662
N14,0.2125,0.0421,0.0275,0.2546
M04,0.2079,0.0412,0.0155,0.2491
NB14,0.1754,0.032,0.0202,0.2074
N08M,0.1722,0.0073,0.0037,0.1795
A11,0.156,0.0035,0.0035,0.1595
H04,0.1402,0.0033,0.0033,0.1435
W20,0.0526,0.0188,0.015,0.0714
W04,0.0672,0.0042,0.0,0.0714
J06,0.0109,0.0,0.0,0.0109
TOTAL,0.2609,0.0428,0.0211,0.3037
